latitude	sun_angle	spring_eq_DOY	start_spring_eq	end_spring_eq	eqlength_spring	aut_eq_DOY	start_aut_eq	end_aut_eq	eqlength_autumn
-80	-7	97	86	108	22	247	236	258	22
-80	-6.75	97	86	108	22	248	237	259	22
-80	-6.5	96	85	107	22	248	237	259	22
-80	-6.25	95	84	106	22	249	238	260	22
-80	-6	95	84	106	22	250	239	261	22
-80	-5.75	94	83	105	22	250	239	261	22
-80	-5.5	93	82	104	22	251	240	262	22
-80	-5.25	93	82	104	22	252	241	263	22
-80	-5	92	81	103	22	252	241	263	22
-80	-4.75	91	80	102	22	253	242	264	22
-80	-4.5	91	80	102	22	254	243	265	22
-80	-4.25	90	79	101	22	254	243	265	22
-80	-4	89	78	100	22	255	244	266	22
-80	-3.75	89	78	100	22	256	245	267	22
-80	-3.5	88	77	99	22	256	245	267	22
-80	-3.25	88	77	99	22	257	246	268	22
-80	-3	87	76	98	22	258	247	269	22
-80	-2.75	86	75	97	22	258	247	269	22
-80	-2.5	86	75	97	22	259	248	270	22
-80	-2.25	85	74	96	22	260	249	271	22
-80	-2	84	73	95	22	260	249	271	22
-80	-1.75	84	73	95	22	261	250	272	22
-80	-1.5	83	72	94	22	262	251	273	22
-80	-1.25	82	71	93	22	262	251	273	22
-80	-1	82	71	93	22	263	252	274	22
-80	-0.75	81	70	92	22	264	253	275	22
-80	-0.5	80	69	91	22	264	253	275	22
-80	-0.25	80	69	91	22	265	254	276	22
-80	0	79	68	90	22	266	255	277	22
-79	-7	97	85	108	23	247	236	259	23
-79	-6.75	97	85	108	23	248	237	260	23
-79	-6.5	96	84	107	23	248	237	260	23
-79	-6.25	95	83	106	23	249	238	261	23
-79	-6	95	83	106	23	250	239	262	23
-79	-5.75	94	82	105	23	250	239	262	23
-79	-5.5	93	81	104	23	251	240	263	23
-79	-5.25	93	81	104	23	252	241	264	23
-79	-5	92	80	103	23	252	241	264	23
-79	-4.75	91	79	102	23	253	242	265	23
-79	-4.5	91	79	102	23	254	243	266	23
-79	-4.25	90	78	101	23	254	243	266	23
-79	-4	89	77	100	23	255	244	267	23
-79	-3.75	89	77	100	23	256	245	268	23
-79	-3.5	88	76	99	23	256	245	268	23
-79	-3.25	88	76	99	23	257	246	269	23
-79	-3	87	75	98	23	258	247	269	22
-79	-2.75	86	75	97	22	258	247	269	22
-79	-2.5	86	75	97	22	259	248	270	22
-79	-2.25	85	74	96	22	260	249	271	22
-79	-2	84	73	95	22	260	249	271	22
-79	-1.75	84	73	95	22	261	250	272	22
-79	-1.5	83	72	94	22	262	251	273	22
-79	-1.25	82	71	93	22	262	251	273	22
-79	-1	82	71	93	22	263	252	274	22
-79	-0.75	81	70	92	22	264	253	275	22
-79	-0.5	80	69	91	22	264	253	275	22
-79	-0.25	80	69	91	22	265	254	276	22
-79	0	79	68	90	22	266	255	277	22
-78	-7	97	85	108	23	247	236	259	23
-78	-6.75	97	85	108	23	248	237	260	23
-78	-6.5	96	84	107	23	248	237	260	23
-78	-6.25	95	83	106	23	249	238	261	23
-78	-6	95	83	106	23	250	239	262	23
-78	-5.75	94	82	105	23	250	239	262	23
-78	-5.5	93	81	104	23	251	240	263	23
-78	-5.25	93	81	104	23	252	241	264	23
-78	-5	92	80	103	23	252	241	264	23
-78	-4.75	91	79	102	23	253	242	265	23
-78	-4.5	91	79	102	23	254	243	266	23
-78	-4.25	90	78	101	23	254	243	266	23
-78	-4	89	77	100	23	255	244	267	23
-78	-3.75	89	77	100	23	256	245	268	23
-78	-3.5	88	76	99	23	256	245	268	23
-78	-3.25	88	76	99	23	257	246	269	23
-78	-3	87	75	98	23	258	246	270	24
-78	-2.75	86	74	98	24	258	246	270	24
-78	-2.5	86	74	98	24	259	247	271	24
-78	-2.25	85	73	97	24	260	248	272	24
-78	-2	84	72	96	24	260	248	272	24
-78	-1.75	84	72	96	24	261	249	273	24
-78	-1.5	83	71	95	24	262	250	274	24
-78	-1.25	82	70	94	24	262	250	274	24
-78	-1	82	70	94	24	263	251	275	24
-78	-0.75	81	69	93	24	264	252	276	24
-78	-0.5	80	68	92	24	264	252	276	24
-78	-0.25	80	68	92	24	265	253	277	24
-78	0	79	67	91	24	266	254	278	24
-77	-7	96	84	109	25	248	235	260	25
-77	-6.75	96	84	109	25	249	236	261	25
-77	-6.5	95	83	108	25	249	236	261	25
-77	-6.25	94	82	107	25	250	237	262	25
-77	-6	94	82	107	25	251	238	263	25
-77	-5.75	93	81	106	25	251	238	263	25
-77	-5.5	92	80	105	25	252	239	264	25
-77	-5.25	92	80	105	25	253	240	265	25
